EmmacBrisWive,E_Coast
EmmacBurdMist,E_Coast
EmmacBurnBara,E_Coast
EmmacClarJack,E_Coast
EmmacClarYate,E_Coast
EmmacCoopAvin,LEB
EmmacCoopCully,LEB
EmmacCoopEulb,LEB
EmmacFitzAllig,E_Coast
EmmacJohnWari,NE_Coast
EmmacMaclGeor,E_Coast
EmmacMaryBoru,E_Coast
EmmacMaryPetr,E_Coast
EmmacMDBBowm,MDB
EmmacMDBCond,MDB
EmmacMDBCudg,MDB
EmmacMDBForb,MDB
EmmacMDBGwyd,MDB
EmmacMDBMaci,MDB
EmmacMDBMurrMung,MDB
EmmacMDBSanf,MDB
EmmacNormJack,NE_Coast
EmmacNormLeic,NE_Coast
EmmacNormSalt,NE_Coast
EmmacRichCasi,NE_Coast
EmmacRoss,NE_Coast
EmmacRussEube,NE_Coast
EmmacTweeUki,E_Coast
EmsubRopeMata,E.subglobosa
EmvicVictJasp,E.victoriae
